item_id,demand,cost,lead_time,category,supplier,demand_period
SKU_001,420,125.50,7,Electronics,TechSupply Co,monthly
SKU_002,285,45.30,5,Office,OfficeMax Ltd,monthly
SKU_003,650,28.75,10,Consumables,QuickStock Inc,monthly
SKU_004,265,189.90,14,Electronics,TechSupply Co,monthly
SKU_005,380,35.40,6,Consumables,QuickStock Inc,monthly
SKU_006,295,167.20,8,Tools,ToolMaster Pro,monthly
SKU_007,480,74.80,12,Office,OfficeMax Ltd,monthly
SKU_008,310,178.60,9,Tools,ToolMaster Pro,monthly
SKU_009,245,95.25,11,Electronics,TechSupply Co,monthly
SKU_010,325,52.10,7,Office,OfficeMax Ltd,monthly
SKU_011,265,38.90,9,Consumables,QuickStock Inc,monthly
SKU_012,405,142.75,13,Electronics,TechSupply Co,monthly
SKU_013,225,29.60,6,Consumables,QuickStock Inc,monthly
SKU_014,375,198.40,15,Tools,ToolMaster Pro,monthly
SKU_015,255,67.85,8,Office,OfficeMax Ltd,monthly
SKU_016,445,156.30,10,Electronics,TechSupply Co,monthly
SKU_017,195,41.20,7,Consumables,QuickStock Inc,monthly
SKU_018,365,187.90,12,Tools,ToolMaster Pro,monthly
SKU_019,275,58.75,9,Office,OfficeMax Ltd,monthly
SKU_020,335,134.60,11,Electronics,TechSupply Co,monthly
SKU_021,185,76.40,8,Office,OfficeMax Ltd,monthly
SKU_022,425,112.85,14,Electronics,TechSupply Co,monthly
SKU_023,155,33.20,5,Consumables,QuickStock Inc,monthly
SKU_024,315,203.70,16,Tools,ToolMaster Pro,monthly
SKU_025,235,49.95,7,Office,OfficeMax Ltd,monthly
SKU_026,385,145.60,12,Electronics,TechSupply Co,monthly
SKU_027,165,27.80,6,Consumables,QuickStock Inc,monthly
SKU_028,345,176.25,10,Tools,ToolMaster Pro,monthly
SKU_029,215,63.40,9,Office,OfficeMax Ltd,monthly
SKU_030,395,158.90,13,Electronics,TechSupply Co,monthly
SKU_031,125,31.50,8,Consumables,QuickStock Inc,monthly
SKU_032,285,192.30,11,Tools,ToolMaster Pro,monthly
SKU_033,205,55.75,7,Office,OfficeMax Ltd,monthly
SKU_034,355,128.40,15,Electronics,TechSupply Co,monthly
SKU_035,175,39.60,6,Consumables,QuickStock Inc,monthly
SKU_036,325,184.80,14,Tools,ToolMaster Pro,monthly
SKU_037,245,71.20,8,Office,OfficeMax Ltd,monthly
SKU_038,415,162.50,12,Electronics,TechSupply Co,monthly
SKU_039,135,44.30,5,Consumables,QuickStock Inc,monthly
SKU_040,305,196.70,10,Tools,ToolMaster Pro,monthly
SKU_041,225,59.85,9,Office,OfficeMax Ltd,monthly
SKU_042,375,139.20,11,Electronics,TechSupply Co,monthly
SKU_043,195,36.40,7,Consumables,QuickStock Inc,monthly
SKU_044,335,189.60,13,Tools,ToolMaster Pro,monthly
SKU_045,265,68.90,8,Office,OfficeMax Ltd,monthly
SKU_046,425,174.30,14,Electronics,TechSupply Co,monthly
SKU_047,145,42.70,6,Consumables,QuickStock Inc,monthly
SKU_048,315,201.50,12,Tools,ToolMaster Pro,monthly
SKU_049,255,64.80,9,Office,OfficeMax Ltd,monthly
SKU_050,385,151.40,10,Electronics,TechSupply Co,monthly 
